gene_symbol,logfc_dz:76,logfc_dz:270,mean_logfc,median_logfc,common_experiment,organism,signature_type
FOXF1,,0.2120976746082306,0.2120976746082306,0.2120976746082306,,human,UP
KCNK3,,0.1446911245584488,0.1446911245584488,0.1446911245584488,,human,UP
DOCK6,0.143291175365448,,0.143291175365448,0.143291175365448,0.143291175365448,human,UP
NELL1,0.1397717744112014,,0.1397717744112014,0.1397717744112014,0.1397717744112014,human,UP
ACTB,,0.1217929273843765,0.1217929273843765,0.1217929273843765,,human,UP
GPR20,0.0268200263381004,0.2165199220180511,0.1216699741780757,0.1216699741780757,0.0268200263381004,human,UP
DEFB1,,0.1156351342797279,0.1156351342797279,0.1156351342797279,,human,UP
ATP2A3,,0.1082211509346962,0.1082211509346962,0.1082211509346962,,human,UP
ATP1B1,0.0200854577124118,0.1741898655891418,0.0971376616507768,0.0971376616507768,0.0200854577124118,human,UP
C7,,0.0941444262862205,0.0941444262862205,0.0941444262862205,,human,UP
PABPC1,,0.0922183394432067,0.0922183394432067,0.0922183394432067,,human,UP
HRG,0.0905312374234199,,0.0905312374234199,0.0905312374234199,0.0905312374234199,human,UP
SLITRK3,0.0894409120082855,,0.0894409120082855,0.0894409120082855,0.0894409120082855,human,UP
PRKCQ,0.0547413155436515,0.1222212389111518,0.0884812772274017,0.0884812772274017,0.0547413155436515,human,UP
GIMAP5,0.0874914526939392,,0.0874914526939392,0.0874914526939392,0.0874914526939392,human,UP
TMEM154,0.0872531235218048,,0.0872531235218048,0.0872531235218048,0.0872531235218048,human,UP
FAM162B,0.0872195735573768,,0.0872195735573768,0.0872195735573768,0.0872195735573768,human,UP
PPA1,,0.0835620984435081,0.0835620984435081,0.0835620984435081,,human,UP
PENK,0.0696764215826988,0.0937057808041572,0.081691101193428,0.081691101193428,0.0696764215826988,human,UP
GKN2,0.0809092000126838,,0.0809092000126838,0.0809092000126838,0.0809092000126838,human,UP
TSPAN5,0.0786511451005935,,0.0786511451005935,0.0786511451005935,0.0786511451005935,human,UP
ANXA3,,0.0774551555514335,0.0774551555514335,0.0774551555514335,,human,UP
PROM1,-0.024303151294589,0.1787746250629425,0.0772357368841767,0.0772357368841767,-0.024303151294589,human,UP
INS-IGF2,,0.0760217159986496,0.0760217159986496,0.0760217159986496,,human,UP
NBL1,,0.0758414715528488,0.0758414715528488,0.0758414715528488,,human,UP
SP110,0.0747109279036521,,0.0747109279036521,0.0747109279036521,0.0747109279036521,human,UP
INPP1,,0.0744475573301315,0.0744475573301315,0.0744475573301315,,human,UP
CCDC3,0.0738576203584671,,0.0738576203584671,0.0738576203584671,0.0738576203584671,human,UP
HSP90AB1,,0.0738536268472671,0.0738536268472671,0.0738536268472671,,human,UP
RTP4,0.0738381296396255,,0.0738381296396255,0.0738381296396255,0.0738381296396255,human,UP
NPTX1,,0.0720096677541732,0.0720096677541732,0.0720096677541732,,human,UP
MAB21L2,,0.0719699934124946,0.0719699934124946,0.0719699934124946,,human,UP
FCER1G,0.0711270570755004,,0.0711270570755004,0.0711270570755004,0.0711270570755004,human,UP
TCF21,,0.0707024857401847,0.0707024857401847,0.0707024857401847,,human,UP
NUAK1,0.0706267580389976,,0.0706267580389976,0.0706267580389976,0.0706267580389976,human,UP
ITM2C,,0.0694576203823089,0.0694576203823089,0.0694576203823089,,human,UP
FCGR1B,0.068043865263462,,0.068043865263462,0.068043865263462,0.068043865263462,human,UP
ISLR,0.0679326727986335,,0.0679326727986335,0.0679326727986335,0.0679326727986335,human,UP
GUK1,0.0677284374833107,,0.0677284374833107,0.0677284374833107,0.0677284374833107,human,UP
AMPD3,0.0674873664975166,,0.0674873664975166,0.0674873664975166,0.0674873664975166,human,UP
C9,0.0672378465533256,,0.0672378465533256,0.0672378465533256,0.0672378465533256,human,UP
TAC1,,0.0665381327271461,0.0665381327271461,0.0665381327271461,,human,UP
CCKBR,,0.0659162253141403,0.0659162253141403,0.0659162253141403,,human,UP
FXYD6,0.0356872789561748,0.0955467075109481,0.0656169932335615,0.0656169932335615,0.0356872789561748,human,UP
EGFLAM,0.0651683434844017,,0.0651683434844017,0.0651683434844017,0.0651683434844017,human,UP
CA2,-0.043593656271696,0.1722414642572403,0.0643239039927721,0.0643239039927721,-0.043593656271696,human,UP
PPDPF,,0.0640942901372909,0.0640942901372909,0.0640942901372909,,human,UP
TUBA1B,,0.064084842801094,0.064084842801094,0.064084842801094,,human,UP
