gene_symbol,logfc_dz:185,mean_logfc,median_logfc,common_experiment,organism,signature_type
ASIC4,0.1743829697370529,0.1743829697370529,0.1743829697370529,0.1743829697370529,human,UP
PRDM10,0.1399087160825729,0.1399087160825729,0.1399087160825729,0.1399087160825729,human,UP
PRAP1,0.1295439302921295,0.1295439302921295,0.1295439302921295,0.1295439302921295,human,UP
ADH1A,0.1246479302644729,0.1246479302644729,0.1246479302644729,0.1246479302644729,human,UP
GSTA1,0.1092747673392295,0.1092747673392295,0.1092747673392295,0.1092747673392295,human,UP
IL32,0.1072734594345092,0.1072734594345092,0.1072734594345092,0.1072734594345092,human,UP
ADH4,0.0962299033999443,0.0962299033999443,0.0962299033999443,0.0962299033999443,human,UP
SLC22A1,0.0955995395779609,0.0955995395779609,0.0955995395779609,0.0955995395779609,human,UP
HRG,0.0951585620641708,0.0951585620641708,0.0951585620641708,0.0951585620641708,human,UP
CYP2C8,0.0946042761206626,0.0946042761206626,0.0946042761206626,0.0946042761206626,human,UP
ALDOB,0.0896185934543609,0.0896185934543609,0.0896185934543609,0.0896185934543609,human,UP
SLC10A1,0.0888449326157569,0.0888449326157569,0.0888449326157569,0.0888449326157569,human,UP
APOC1,0.0880753323435783,0.0880753323435783,0.0880753323435783,0.0880753323435783,human,UP
LECT2,0.0846039727330207,0.0846039727330207,0.0846039727330207,0.0846039727330207,human,UP
RPS13,0.0806562080979347,0.0806562080979347,0.0806562080979347,0.0806562080979347,human,UP
FXYD1,0.0796935632824897,0.0796935632824897,0.0796935632824897,0.0796935632824897,human,UP
PEMT,0.0778121277689933,0.0778121277689933,0.0778121277689933,0.0778121277689933,human,UP
ALB,0.0769454538822174,0.0769454538822174,0.0769454538822174,0.0769454538822174,human,UP
APOC3,0.0763635337352752,0.0763635337352752,0.0763635337352752,0.0763635337352752,human,UP
ECHS1,0.0756142064929008,0.0756142064929008,0.0756142064929008,0.0756142064929008,human,UP
APOH,0.0732674077153205,0.0732674077153205,0.0732674077153205,0.0732674077153205,human,UP
THRSP,0.0718340426683425,0.0718340426683425,0.0718340426683425,0.0718340426683425,human,UP
VTN,0.0707888528704643,0.0707888528704643,0.0707888528704643,0.0707888528704643,human,UP
SERPINA3,0.0706653073430061,0.0706653073430061,0.0706653073430061,0.0706653073430061,human,UP
APOA1,0.0677680596709251,0.0677680596709251,0.0677680596709251,0.0677680596709251,human,UP
HBB,0.0668476000428199,0.0668476000428199,0.0668476000428199,0.0668476000428199,human,UP
CES1,0.0665975287556648,0.0665975287556648,0.0665975287556648,0.0665975287556648,human,UP
C3,0.0654518604278564,0.0654518604278564,0.0654518604278564,0.0654518604278564,human,UP
RBP4,0.0651706084609031,0.0651706084609031,0.0651706084609031,0.0651706084609031,human,UP
HRSP12,0.0650245174765586,0.0650245174765586,0.0650245174765586,0.0650245174765586,human,UP
FTCD,0.0633502304553985,0.0633502304553985,0.0633502304553985,0.0633502304553985,human,UP
HSD17B6,0.0592792406678199,0.0592792406678199,0.0592792406678199,0.0592792406678199,human,UP
DCN,0.0570205338299274,0.0570205338299274,0.0570205338299274,0.0570205338299274,human,UP
P2RX3,0.0564389154314994,0.0564389154314994,0.0564389154314994,0.0564389154314994,human,UP
IL22RA1,0.055972971022129,0.055972971022129,0.055972971022129,0.055972971022129,human,UP
TPTE2,0.0545268803834915,0.0545268803834915,0.0545268803834915,0.0545268803834915,human,UP
LEAP2,0.0544930659234523,0.0544930659234523,0.0544930659234523,0.0544930659234523,human,UP
LINC01060,0.05364441126585,0.05364441126585,0.05364441126585,0.05364441126585,human,UP
SRD5A2,0.0531276240944862,0.0531276240944862,0.0531276240944862,0.0531276240944862,human,UP
PPP1R1A,0.0523262023925781,0.0523262023925781,0.0523262023925781,0.0523262023925781,human,UP
SERPINF1,0.0517400242388248,0.0517400242388248,0.0517400242388248,0.0517400242388248,human,UP
HLA-DPA1,0.0516037791967392,0.0516037791967392,0.0516037791967392,0.0516037791967392,human,UP
APOC2,0.051424141973257,0.051424141973257,0.051424141973257,0.051424141973257,human,UP
TM4SF4,0.0501829870045185,0.0501829870045185,0.0501829870045185,0.0501829870045185,human,UP
HBA2,0.0499749518930912,0.0499749518930912,0.0499749518930912,0.0499749518930912,human,UP
PROC,0.0499548688530921,0.0499548688530921,0.0499548688530921,0.0499548688530921,human,UP
LOC648691,0.0491537228226661,0.0491537228226661,0.0491537228226661,0.0491537228226661,human,UP
EEF1A1,0.0490867719054222,0.0490867719054222,0.0490867719054222,0.0490867719054222,human,UP
ACY1,0.0479690395295619,0.0479690395295619,0.0479690395295619,0.0479690395295619,human,UP
CYP2D6,0.0478397570550441,0.0478397570550441,0.0478397570550441,0.0478397570550441,human,UP
GRHPR,0.0476416572928428,0.0476416572928428,0.0476416572928428,0.0476416572928428,human,UP
KNG1,0.0472412668168544,0.0472412668168544,0.0472412668168544,0.0472412668168544,human,UP
TYROBP,0.046937521547079,0.046937521547079,0.046937521547079,0.046937521547079,human,UP
CRNDE,0.0464910008013248,0.0464910008013248,0.0464910008013248,0.0464910008013248,human,UP
PXK,0.0459472760558128,0.0459472760558128,0.0459472760558128,0.0459472760558128,human,UP
FN1,0.0455704405903816,0.0455704405903816,0.0455704405903816,0.0455704405903816,human,UP
ORM2,0.0454962663352489,0.0454962663352489,0.0454962663352489,0.0454962663352489,human,UP
H19,0.0454748086631298,0.0454748086631298,0.0454748086631298,0.0454748086631298,human,UP
APOM,0.044721882790327,0.044721882790327,0.044721882790327,0.044721882790327,human,UP
PON1,0.0443106777966022,0.0443106777966022,0.0443106777966022,0.0443106777966022,human,UP
PHYH,0.0437341928482055,0.0437341928482055,0.0437341928482055,0.0437341928482055,human,UP
SDC3,0.0436577275395393,0.0436577275395393,0.0436577275395393,0.0436577275395393,human,UP
LGALS3BP,0.0435373075306415,0.0435373075306415,0.0435373075306415,0.0435373075306415,human,UP
RBP5,0.0429100133478641,0.0429100133478641,0.0429100133478641,0.0429100133478641,human,UP
IGFALS,0.042733822017908,0.042733822017908,0.042733822017908,0.042733822017908,human,UP
HPD,0.0425018556416034,0.0425018556416034,0.0425018556416034,0.0425018556416034,human,UP
HPR,0.0419692657887935,0.0419692657887935,0.0419692657887935,0.0419692657887935,human,UP
FCN3,0.0418656580150127,0.0418656580150127,0.0418656580150127,0.0418656580150127,human,UP
GNMT,0.0417169332504272,0.0417169332504272,0.0417169332504272,0.0417169332504272,human,UP
BRICD5,0.0416841357946395,0.0416841357946395,0.0416841357946395,0.0416841357946395,human,UP
C1QA,0.0415587574243545,0.0415587574243545,0.0415587574243545,0.0415587574243545,human,UP
ENO3,0.0415554605424404,0.0415554605424404,0.0415554605424404,0.0415554605424404,human,UP
CDO1,0.0410783141851425,0.0410783141851425,0.0410783141851425,0.0410783141851425,human,UP
TMSB4X,0.0409818515181541,0.0409818515181541,0.0409818515181541,0.0409818515181541,human,UP
ADAMTS15,0.0407254621386528,0.0407254621386528,0.0407254621386528,0.0407254621386528,human,UP
FETUB,0.0404933765530586,0.0404933765530586,0.0404933765530586,0.0404933765530586,human,UP
DNASE1L3,0.0398227907717227,0.0398227907717227,0.0398227907717227,0.0398227907717227,human,UP
CIDEB,0.0395274497568607,0.0395274497568607,0.0395274497568607,0.0395274497568607,human,UP
CFB,0.0393825210630893,0.0393825210630893,0.0393825210630893,0.0393825210630893,human,UP
ITIH2,0.0393276214599609,0.0393276214599609,0.0393276214599609,0.0393276214599609,human,UP
CYP27A1,0.0392621122300624,0.0392621122300624,0.0392621122300624,0.0392621122300624,human,UP
FGG,0.038444735109806,0.038444735109806,0.038444735109806,0.038444735109806,human,UP
FNDC5,0.0383914411067962,0.0383914411067962,0.0383914411067962,0.0383914411067962,human,UP
FCGRT,0.038216944783926,0.038216944783926,0.038216944783926,0.038216944783926,human,UP
RPL3,0.0380481332540512,0.0380481332540512,0.0380481332540512,0.0380481332540512,human,UP
GLS2,0.0380324497818946,0.0380324497818946,0.0380324497818946,0.0380324497818946,human,UP
ANGPTL3,0.0380245931446552,0.0380245931446552,0.0380245931446552,0.0380245931446552,human,UP
HLA-E,0.0372739322483539,0.0372739322483539,0.0372739322483539,0.0372739322483539,human,UP
IFITM1,0.0366647727787494,0.0366647727787494,0.0366647727787494,0.0366647727787494,human,UP
GLUL,0.0361325331032276,0.0361325331032276,0.0361325331032276,0.0361325331032276,human,UP
MGMT,0.0357789881527423,0.0357789881527423,0.0357789881527423,0.0357789881527423,human,UP
ZG16,0.0353241525590419,0.0353241525590419,0.0353241525590419,0.0353241525590419,human,UP
CXCL14,0.0351885557174682,0.0351885557174682,0.0351885557174682,0.0351885557174682,human,UP
CPB2,0.0343599840998649,0.0343599840998649,0.0343599840998649,0.0343599840998649,human,UP
ZFP36L1,0.0339650101959705,0.0339650101959705,0.0339650101959705,0.0339650101959705,human,UP
RPS11,0.0336532853543758,0.0336532853543758,0.0336532853543758,0.0336532853543758,human,UP
DEFB1,0.03359080478549,0.03359080478549,0.03359080478549,0.03359080478549,human,UP
SKAP1,0.0334658399224281,0.0334658399224281,0.0334658399224281,0.0334658399224281,human,UP
FEV,0.0333791188895702,0.0333791188895702,0.0333791188895702,0.0333791188895702,human,UP
RTP3,0.0332431159913539,0.0332431159913539,0.0332431159913539,0.0332431159913539,human,UP
SEPP1,0.0329869873821735,0.0329869873821735,0.0329869873821735,0.0329869873821735,human,UP
IGF2,0.032700128853321,0.032700128853321,0.032700128853321,0.032700128853321,human,UP
AMN,0.0322861671447753,0.0322861671447753,0.0322861671447753,0.0322861671447753,human,UP
CYP2E1,0.0321361050009727,0.0321361050009727,0.0321361050009727,0.0321361050009727,human,UP
RPL13,0.0321047306060791,0.0321047306060791,0.0321047306060791,0.0321047306060791,human,UP
HAAO,0.0319082625210285,0.0319082625210285,0.0319082625210285,0.0319082625210285,human,UP
IFITM2,0.0311179812997579,0.0311179812997579,0.0311179812997579,0.0311179812997579,human,UP
SDHD,0.0310100074857473,0.0310100074857473,0.0310100074857473,0.0310100074857473,human,UP
DBI,0.030935475602746,0.030935475602746,0.030935475602746,0.030935475602746,human,UP
HGFAC,0.0305520426481962,0.0305520426481962,0.0305520426481962,0.0305520426481962,human,UP
SOD1,0.0298314839601516,0.0298314839601516,0.0298314839601516,0.0298314839601516,human,UP
HAMP,0.0296652149409055,0.0296652149409055,0.0296652149409055,0.0296652149409055,human,UP
ERBB2,0.0295259822160005,0.0295259822160005,0.0295259822160005,0.0295259822160005,human,UP
F12,0.029297512024641,0.029297512024641,0.029297512024641,0.029297512024641,human,UP
SERPINA6,0.0289145614951849,0.0289145614951849,0.0289145614951849,0.0289145614951849,human,UP
MT1G,0.0285159368067979,0.0285159368067979,0.0285159368067979,0.0285159368067979,human,UP
IMMT,0.0284296609461307,0.0284296609461307,0.0284296609461307,0.0284296609461307,human,UP
CECR6,0.028004378080368,0.028004378080368,0.028004378080368,0.028004378080368,human,UP
C3P1,0.0279664974659681,0.0279664974659681,0.0279664974659681,0.0279664974659681,human,UP
SULT1A3,0.0277836881577968,0.0277836881577968,0.0277836881577968,0.0277836881577968,human,UP
GSTZ1,0.0276604257524013,0.0276604257524013,0.0276604257524013,0.0276604257524013,human,UP
TCEA2,0.0276347640901803,0.0276347640901803,0.0276347640901803,0.0276347640901803,human,UP
GADD45A,0.0276008658111095,0.0276008658111095,0.0276008658111095,0.0276008658111095,human,UP
