gene_symbol,logfc_dz:361,logfc_dz:553,logfc_dz:56,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS4Y1,,0.6450769305229187,,0.6450769305229187,0.6450769305229187,,human,UP
NKG7,,0.1598046571016311,,0.1598046571016311,0.1598046571016311,,human,UP
DMBT1,,,0.1244989484548568,0.1244989484548568,0.1244989484548568,0.1244989484548568,human,UP
TRBC1,,0.1182570680975914,,0.1182570680975914,0.1182570680975914,,human,UP
GZMB,,0.1071147322654724,,0.1071147322654724,0.1071147322654724,,human,UP
OLFM4,,,0.103298932313919,0.103298932313919,0.103298932313919,0.103298932313919,human,UP
TRIM22,,0.0935224816203117,,0.0935224816203117,0.0935224816203117,,human,UP
FGFBP2,,0.09247637540102,,0.09247637540102,0.09247637540102,,human,UP
RPL30,,0.0905072316527366,,0.0905072316527366,0.0905072316527366,,human,UP
RPS19,0.0884788632392883,,,0.0884788632392883,0.0884788632392883,,human,UP
SLC36A2,0.0875223651528358,,,0.0875223651528358,0.0875223651528358,,human,UP
HSP90AB1,0.0871458649635315,,,0.0871458649635315,0.0871458649635315,,human,UP
KLRB1,,0.0857867076992988,,0.0857867076992988,0.0857867076992988,,human,UP
RPS20,,0.0784157887101173,,0.0784157887101173,0.0784157887101173,,human,UP
RPL11,0.0362600125372409,0.1081435978412628,,0.0722018051892519,0.0722018051892519,,human,UP
COL1A1,0.0715588629245758,,,0.0715588629245758,0.0715588629245758,,human,UP
EEF1A1,0.071510337293148,,,0.071510337293148,0.071510337293148,,human,UP
TFF3,0.0225313417613506,,0.1199838295578956,0.0712575856596231,0.0712575856596231,0.1199838295578956,human,UP
SNHG5,,0.0704608261585235,,0.0704608261585235,0.0704608261585235,,human,UP
APOE,0.0698694363236427,,,0.0698694363236427,0.0698694363236427,,human,UP
HSPD1,0.0684041157364845,,,0.0684041157364845,0.0684041157364845,,human,UP
RPS25,,0.0682575851678848,,0.0682575851678848,0.0682575851678848,,human,UP
C3,0.0662159249186515,,,0.0662159249186515,0.0662159249186515,,human,UP
RPS18,,0.066102422773838,,0.066102422773838,0.066102422773838,,human,UP
