gene_symbol,logfc_dz:352,mean_logfc,median_logfc,common_experiment,organism,signature_type
LEP,0.16935595870018,0.16935595870018,0.16935595870018,0.16935595870018,human,UP
CRH,0.0964493975043296,0.0964493975043296,0.0964493975043296,0.0964493975043296,human,UP
INHBA,0.0663895159959793,0.0663895159959793,0.0663895159959793,0.0663895159959793,human,UP
FSTL3,0.0647274181246757,0.0647274181246757,0.0647274181246757,0.0647274181246757,human,UP
HTRA4,0.0636260285973548,0.0636260285973548,0.0636260285973548,0.0636260285973548,human,UP
CXCL8,0.0613081529736518,0.0613081529736518,0.0613081529736518,0.0613081529736518,human,UP
ANKRD37,0.0548776537179946,0.0548776537179946,0.0548776537179946,0.0548776537179946,human,UP
CGB,0.0531312897801399,0.0531312897801399,0.0531312897801399,0.0531312897801399,human,UP
PLIN2,0.0528663396835327,0.0528663396835327,0.0528663396835327,0.0528663396835327,human,UP
FLT1,0.0485397651791572,0.0485397651791572,0.0485397651791572,0.0485397651791572,human,UP
PAPPA2,0.0447098016738891,0.0447098016738891,0.0447098016738891,0.0447098016738891,human,UP
WDR86-AS1,0.044235710054636,0.044235710054636,0.044235710054636,0.044235710054636,human,UP
LTF,0.0435146018862724,0.0435146018862724,0.0435146018862724,0.0435146018862724,human,UP
TREM1,0.0433550328016281,0.0433550328016281,0.0433550328016281,0.0433550328016281,human,UP
PROCR,0.0426604785025119,0.0426604785025119,0.0426604785025119,0.0426604785025119,human,UP
PSG9,0.0421619899570941,0.0421619899570941,0.0421619899570941,0.0421619899570941,human,UP
GPER1,0.0421442948281765,0.0421442948281765,0.0421442948281765,0.0421442948281765,human,UP
ENTPD1,0.0408049747347831,0.0408049747347831,0.0408049747347831,0.0408049747347831,human,UP
SNRPG,0.0403212159872055,0.0403212159872055,0.0403212159872055,0.0403212159872055,human,UP
CBLC,0.0392977334558963,0.0392977334558963,0.0392977334558963,0.0392977334558963,human,UP
SLCO4A1,0.037670187652111,0.037670187652111,0.037670187652111,0.037670187652111,human,UP
HTRA1,0.0375909432768821,0.0375909432768821,0.0375909432768821,0.0375909432768821,human,UP
ARRDC3,0.0372992679476738,0.0372992679476738,0.0372992679476738,0.0372992679476738,human,UP
LHB,0.0370064340531826,0.0370064340531826,0.0370064340531826,0.0370064340531826,human,UP
SH3BP5,0.03632652759552,0.03632652759552,0.03632652759552,0.03632652759552,human,UP
C17orf64,0.0360565856099128,0.0360565856099128,0.0360565856099128,0.0360565856099128,human,UP
PSG7,0.0360340289771556,0.0360340289771556,0.0360340289771556,0.0360340289771556,human,UP
PVRL4,0.035679668188095,0.035679668188095,0.035679668188095,0.035679668188095,human,UP
HK2,0.0353244952857494,0.0353244952857494,0.0353244952857494,0.0353244952857494,human,UP
ZNF766,0.0349612236022949,0.0349612236022949,0.0349612236022949,0.0349612236022949,human,UP
EGR3,0.0347924791276454,0.0347924791276454,0.0347924791276454,0.0347924791276454,human,UP
CTAGE10P,0.0345887839794158,0.0345887839794158,0.0345887839794158,0.0345887839794158,human,UP
NRIP1,0.0343705639243125,0.0343705639243125,0.0343705639243125,0.0343705639243125,human,UP
NR4A1,0.034106183797121,0.034106183797121,0.034106183797121,0.034106183797121,human,UP
CST6,0.0337139181792736,0.0337139181792736,0.0337139181792736,0.0337139181792736,human,UP
JHDM1D-AS1,0.0334086529910564,0.0334086529910564,0.0334086529910564,0.0334086529910564,human,UP
LOC440416,0.0330743677914142,0.0330743677914142,0.0330743677914142,0.0330743677914142,human,UP
BACH1,0.0330041795969009,0.0330041795969009,0.0330041795969009,0.0330041795969009,human,UP
EBI3,0.0327698998153209,0.0327698998153209,0.0327698998153209,0.0327698998153209,human,UP
TTLL2,0.0325413569808006,0.0325413569808006,0.0325413569808006,0.0325413569808006,human,UP
PKIB,0.032538566738367,0.032538566738367,0.032538566738367,0.032538566738367,human,UP
BPY2B,0.0324514992535114,0.0324514992535114,0.0324514992535114,0.0324514992535114,human,UP
HEXB,0.0322304591536521,0.0322304591536521,0.0322304591536521,0.0322304591536521,human,UP
AMZ1,0.0320723727345466,0.0320723727345466,0.0320723727345466,0.0320723727345466,human,UP
LIMD1,0.0320000424981117,0.0320000424981117,0.0320000424981117,0.0320000424981117,human,UP
CTAG1A,0.0318665727972984,0.0318665727972984,0.0318665727972984,0.0318665727972984,human,UP
APOOL,0.0315828993916511,0.0315828993916511,0.0315828993916511,0.0315828993916511,human,UP
AREG,0.0314759910106658,0.0314759910106658,0.0314759910106658,0.0314759910106658,human,UP
FOS,0.0314345210790634,0.0314345210790634,0.0314345210790634,0.0314345210790634,human,UP
LRTM2,0.0311055313795804,0.0311055313795804,0.0311055313795804,0.0311055313795804,human,UP
PIK3CB,0.0305599831044673,0.0305599831044673,0.0305599831044673,0.0305599831044673,human,UP
KLK12,0.0305310674011707,0.0305310674011707,0.0305310674011707,0.0305310674011707,human,UP
KRT19,0.0302515495568513,0.0302515495568513,0.0302515495568513,0.0302515495568513,human,UP
PSG8,0.0300820749253034,0.0300820749253034,0.0300820749253034,0.0300820749253034,human,UP
VWC2,0.0300066117197275,0.0300066117197275,0.0300066117197275,0.0300066117197275,human,UP
KIF2A,0.0298356227576732,0.0298356227576732,0.0298356227576732,0.0298356227576732,human,UP
PSG1,0.0298300571739673,0.0298300571739673,0.0298300571739673,0.0298300571739673,human,UP
BHLHE40,0.0298218429088592,0.0298218429088592,0.0298218429088592,0.0298218429088592,human,UP
LOC349160,0.029765797778964,0.029765797778964,0.029765797778964,0.029765797778964,human,UP
