"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id"
"2353_at",-3.22105410147866,8.80160976751034,-4.1865363414781,0.000309765496195614,0.00327074042477885,0.271270485446966,"2353_at"
"1469_at",-2.96768350898467,7.85756417653385,-4.15309522599645,0.000337601829762547,0.00345598994545528,0.190061668200534,"1469_at"
"AFFX-HUMRGE/M10098_5_at",2.93423495306143,10.8208396529015,3.92278624089062,0.000609400889868546,0.0048383596232819,-0.366385002543428,"AFFX-HUMRGE/M10098_5_at"
"AFFX-HUMRGE/M10098_M_at",2.74097706788448,10.5237695961706,4.65966082790635,9.13036378205543e-05,0.0017222415877015,1.42676343683847,"AFFX-HUMRGE/M10098_M_at"
"2354_at",-2.4848299500472,7.57776197537363,-3.51915276532212,0.00169385722980354,0.0091492548962295,-1.32447546452709,"2354_at"
"10562_at",2.42070869424787,5.95041397615818,3.2785280806059,0.0030800928859589,0.0136712075137556,-1.88072038253488,"10562_at"
"1522_at",2.32386240907986,8.35775995180168,7.61319042678253,5.97410105349499e-08,0.000148982680816543,8.3447056479462,"1522_at"
"5179_at",2.1783488631263,8.03874019718063,2.27319348507402,0.0319254170136203,0.0751310822639113,-4.00131169952327,"5179_at"
"101927057_at",2.07052227820974,6.87660486396624,4.97988022780517,3.99220592991013e-05,0.00119381527398948,2.21095478391838,"101927057_at"
"440423_at",-2.070208274003,6.97653693220675,-4.42391538431942,0.000167931910343712,0.00228717902359082,0.849855666191774,"440423_at"
"132203_at",2.04219066994235,5.67653623012587,3.9376650420702,0.00058666079041838,0.00471816239926584,-0.330609249812046,"132203_at"
"83540_at",2.01922609030164,6.29169277037544,4.11265689257304,0.000374592087086678,0.00364693170716897,0.0919843514820755,"83540_at"
"79801_at",1.97240756606105,5.33087727496015,5.06860787477933,3.17590386288629e-05,0.0011158698924076,2.42790098744509,"79801_at"
"5534_at",1.83771754665799,6.68843666772185,7.27896648438187,1.30652901307661e-07,0.000167268376899133,7.61419498579562,"5534_at"
"388942_at",-1.82815392061648,5.98995416139601,-6.34613100700094,1.24918311931532e-06,0.000405705492675837,5.49209170176227,"388942_at"
"201283_at",1.80386396775646,5.58955076889294,3.93821000215427,0.000585843983987081,0.00471344389944672,-0.329298398690755,"201283_at"
"AFFX-HUMRGE/M10098_3_at",1.80141076375184,11.518858911093,3.29928252354533,0.00292650264329944,0.0132098898513323,-1.83328618955089,"AFFX-HUMRGE/M10098_3_at"
"29070_at",1.76459107326169,6.67239537775769,5.18803961354437,2.33541763156527e-05,0.00100290764706463,2.71945979642363,"29070_at"
"1047_at",1.74921275802002,5.40106909449016,3.85308118744329,0.000728045809807263,0.00537469056879142,-0.533618594224566,"1047_at"
"64946_at",1.73779221976355,5.89775846193691,5.19865063933639,2.27257054241948e-05,0.000997298430159477,2.74533318868785,"64946_at"
"155465_at",1.72596388139727,9.09228854238974,3.82761474323522,0.000776840039504426,0.00559324828443187,-0.594555998611843,"155465_at"
"8364_at",1.70528172869859,12.7082565776979,5.46707484320481,1.14219384425691e-05,0.000745117793177024,3.39775256700341,"8364_at"
"8815_at",-1.67740683658213,11.0563185712892,-4.9620769065354,4.17985387141875e-05,0.00120974403938209,2.16739613733275,"8815_at"
"153643_at",1.67314260080721,6.77978067255953,3.53007682334163,0.00164810637479399,0.0090050175997013,-1.29891962869498,"153643_at"
"6340_at",1.66384571629964,6.18751820531887,3.25329308349681,0.00327735565789287,0.0142624502435262,-1.93824467227786,"6340_at"
"114224_at",-1.65241566866817,7.29964760980836,-4.66243040703688,9.06521635165948e-05,0.00172096285215378,1.43354745998118,"114224_at"
"5315_at",-1.650192441476,10.3866367073796,-5.40751682386077,1.33004603860817e-05,0.000778720283062818,3.25337938936554,"5315_at"
